start_time,end_time,audio_tag1,audio_tag2,audio_tag3
0.00,10.00,,,
10.00,20.00,박수 소리,말소리,
20.00,30.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
30.00,40.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
40.00,50.00,말소리,"내레이션의 소리, 독백",
50.00,60.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
60.00,70.00,말소리,"내레이션의 소리, 독백",
70.00,80.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
80.00,90.00,말소리,"내레이션의 소리, 독백","킥킥 웃는 소리, 깔깔 웃는 소리"
90.00,100.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",
100.00,110.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리","내레이션의 소리, 독백"
110.00,120.00,말소리,"내레이션의 소리, 독백","킥킥 웃는 소리, 깔깔 웃는 소리"
120.00,130.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
130.00,140.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
140.00,150.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리","내레이션의 소리, 독백"
150.00,160.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
160.00,170.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
170.00,180.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
180.00,190.00,말소리,"내레이션의 소리, 독백","킥킥 웃는 소리, 깔깔 웃는 소리"
190.00,200.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
200.00,210.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
210.00,220.00,말소리,"내레이션의 소리, 독백","킥킥 웃는 소리, 깔깔 웃는 소리"
220.00,230.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
230.00,240.00,말소리,"내레이션의 소리, 독백","킥킥 웃는 소리, 깔깔 웃는 소리"
240.00,250.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
250.00,260.00,말소리,"내레이션의 소리, 독백",
260.00,270.00,말소리,"내레이션의 소리, 독백","킥킥 웃는 소리, 깔깔 웃는 소리"
270.00,280.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
280.00,290.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
290.00,300.00,말소리,박수 소리,"내레이션의 소리, 독백"
300.00,310.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리","내레이션의 소리, 독백"
310.00,320.00,말소리,"내레이션의 소리, 독백","킥킥 웃는 소리, 깔깔 웃는 소리"
320.00,330.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
330.00,340.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
340.00,350.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리","내레이션의 소리, 독백"
350.00,360.00,말소리,박수 소리,"남자 말소리, 남자 말하기"
