start_time,end_time,audio_tag1,audio_tag2,audio_tag3
0.00,10.00,음악의 소리,무서운 음악 소리,
10.00,20.00,박수 소리,말소리,음악의 소리
20.00,30.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
30.00,40.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
40.00,50.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
50.00,60.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
60.00,70.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
70.00,80.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
80.00,90.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
90.00,100.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
100.00,110.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
110.00,120.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
120.00,130.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
130.00,140.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
140.00,150.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
150.00,160.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
160.00,170.00,말소리,"내레이션의 소리, 독백",
170.00,180.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
180.00,190.00,말소리,"내레이션의 소리, 독백",
190.00,200.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
200.00,210.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
210.00,220.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
220.00,230.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리","여자의 말소리, 여자가 말하는 소리"
230.00,240.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",웃음소리
240.00,250.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
250.00,260.00,말소리,"내레이션의 소리, 독백","킥킥 웃는 소리, 깔깔 웃는 소리"
260.00,270.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
270.00,280.00,말소리,음악의 소리,"내레이션의 소리, 독백"
280.00,290.00,음악의 소리,침묵의 소리,
