start_time,end_time,audio_tag1,audio_tag2,audio_tag3
0.00,10.00,말소리,박수 소리,"남자 말소리, 남자 말하기"
10.00,20.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
20.00,30.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
30.00,40.00,말소리,"남자 말소리, 남자 말하기","내레이션의 소리, 독백"
40.00,50.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
50.00,60.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
60.00,70.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
70.00,80.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
80.00,90.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
90.00,100.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
100.00,110.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
110.00,120.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
120.00,130.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
130.00,140.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
140.00,150.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
150.00,160.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
160.00,170.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
170.00,180.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
180.00,190.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
190.00,200.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
200.00,210.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
210.00,220.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
220.00,230.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
230.00,240.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
240.00,250.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
250.00,260.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
260.00,270.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
270.00,280.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
280.00,290.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
290.00,300.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
300.00,310.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
310.00,320.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
320.00,330.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
330.00,340.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
340.00,350.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
350.00,360.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
360.00,370.00,말소리,"내레이션의 소리, 독백",훌쩍이는 소리
370.00,380.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
380.00,390.00,말소리,"내레이션의 소리, 독백",헐떡이는 소리
390.00,400.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
400.00,410.00,박수 소리,말소리,
410.00,420.00,박수 소리,말소리,
420.00,430.00,박수 소리,말소리,
430.00,440.00,말소리,박수 소리,"내레이션의 소리, 독백"
440.00,450.00,박수 소리,,
