start_time,end_time,audio_tag1,audio_tag2,audio_tag3
0.00,10.00,박수 소리,말소리,"여자의 말소리, 여자가 말하는 소리"
10.00,20.00,"여자의 말소리, 여자가 말하는 소리",말소리,"내레이션의 소리, 독백"
20.00,30.00,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백",말소리
30.00,40.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
40.00,50.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
50.00,60.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
60.00,70.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
70.00,80.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
80.00,90.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
90.00,100.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
100.00,110.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
110.00,120.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
120.00,130.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
130.00,140.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
140.00,150.00,"여자의 말소리, 여자가 말하는 소리",말소리,"내레이션의 소리, 독백"
150.00,160.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
160.00,170.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
170.00,180.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
180.00,190.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
190.00,200.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
200.00,210.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
210.00,220.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
220.00,230.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
230.00,240.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
240.00,250.00,말소리,"여자의 말소리, 여자가 말하는 소리",숨소리
250.00,260.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
260.00,270.00,말소리,"여자의 말소리, 여자가 말하는 소리",숨소리
270.00,280.00,말소리,"여자의 말소리, 여자가 말하는 소리",한숨 소리
280.00,290.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
290.00,300.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
300.00,310.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
310.00,320.00,숨소리,한숨 소리,
320.00,330.00,숨소리,,
330.00,340.00,,,
340.00,350.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
350.00,360.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
360.00,370.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
370.00,380.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
380.00,390.00,숨소리,,
390.00,400.00,한숨 소리,숨소리,
400.00,410.00,,,
410.00,420.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
420.00,430.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
430.00,440.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
440.00,450.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
450.00,460.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
460.00,470.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
470.00,480.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
480.00,490.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
490.00,500.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
500.00,510.00,말소리,"여자의 말소리, 여자가 말하는 소리","내레이션의 소리, 독백"
510.00,520.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
520.00,530.00,말소리,"내레이션의 소리, 독백","여자의 말소리, 여자가 말하는 소리"
530.00,540.00,박수 소리,말소리,"여자의 말소리, 여자가 말하는 소리"
540.00,550.00,박수 소리,침묵의 소리,
