start_time,end_time,audio_tag1,audio_tag2,audio_tag3
0.00,10.00,비브라폰의 소리,음악의 소리,"마림바, 실로폰의 소리"
10.00,20.00,비브라폰의 소리,"마림바, 실로폰의 소리",음악의 소리
20.00,30.00,박수 소리,말소리,
30.00,40.00,말소리,"내레이션의 소리, 독백",
40.00,50.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
50.00,60.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
60.00,70.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
70.00,80.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
80.00,90.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
90.00,100.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
100.00,110.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
110.00,120.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
120.00,130.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
130.00,140.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
140.00,150.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
150.00,160.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
160.00,170.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
170.00,180.00,말소리,"내레이션의 소리, 독백",글쓰기의 소리
180.00,190.00,말소리,"내레이션의 소리, 독백",
190.00,200.00,말소리,,
200.00,210.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
210.00,220.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
220.00,230.00,말소리,"내레이션의 소리, 독백",
230.00,240.00,말소리,"내레이션의 소리, 독백","킥킥 웃는 소리, 깔깔 웃는 소리"
240.00,250.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
250.00,260.00,말소리,,
260.00,270.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
270.00,280.00,말소리,"내레이션의 소리, 독백",
280.00,290.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
290.00,300.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
300.00,310.00,말소리,,
310.00,320.00,말소리,,
320.00,330.00,말소리,"내레이션의 소리, 독백",대화의 소리
330.00,340.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
340.00,350.00,말소리,"내레이션의 소리, 독백",
350.00,360.00,말소리,대화의 소리,
360.00,370.00,말소리,"내레이션의 소리, 독백",
370.00,380.00,말소리,대화의 소리,"내레이션의 소리, 독백"
380.00,390.00,말소리,박수 소리,"내레이션의 소리, 독백"
390.00,400.00,말소리,"내레이션의 소리, 독백",
400.00,410.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
410.00,420.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
420.00,430.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
430.00,440.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
440.00,450.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
450.00,460.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
460.00,470.00,말소리,"내레이션의 소리, 독백","킥킥 웃는 소리, 깔깔 웃는 소리"
470.00,480.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
480.00,490.00,말소리,"내레이션의 소리, 독백",
490.00,500.00,말소리,"내레이션의 소리, 독백",
500.00,510.00,말소리,"킥킥 웃는 소리, 깔깔 웃는 소리",비웃는 소리
510.00,520.00,말소리,"내레이션의 소리, 독백",
520.00,530.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
530.00,540.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
540.00,550.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
550.00,560.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
560.00,570.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
570.00,580.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
580.00,590.00,말소리,"내레이션의 소리, 독백",
590.00,600.00,말소리,"내레이션의 소리, 독백","남자 말소리, 남자 말하기"
600.00,610.00,말소리,박수 소리,
610.00,620.00,박수 소리,,
620.00,630.00,박수 소리,,
630.00,640.00,침묵의 소리,박수 소리,
